NEW_NAME,year_index,code,year,stata_command,new_year_ugh
amt_pension_s,3,ER22888,03,cap rename ER22888 amt_pension_s,2003
amt_pension_s,4,ER26869,05,cap rename ER26869 amt_pension_s,2005
amt_pension_s,5,ER37993,07,cap rename ER37993 amt_pension_s,2007
amt_pension_s,6,ER43966,09,cap rename ER43966 amt_pension_s,2009
amt_pension_s,7,ER49299,11,cap rename ER49299 amt_pension_s,2011
amt_pension_s,8,ER55052,13,cap rename ER55052 amt_pension_s,2013
amt_pension_s,9,ER62173,15,cap rename ER62173 amt_pension_s,2015
debt_all,1,ER15031,99,cap rename ER15031 debt_all,1999
debt_all,2,ER19227,01,cap rename ER19227 debt_all,2001
debt_all,3,ER22622,03,cap rename ER22622 debt_all,2003
debt_all,4,ER26603,05,cap rename ER26603 debt_all,2005
debt_all,5,ER37621,07,cap rename ER37621 debt_all,2007
debt_all,6,ER43612,09,cap rename ER43612 debt_all,2009
debt_business,1,ER54629,13,cap rename ER54629 debt_business,2013
debt_business,2,ER61740,15,cap rename ER61740 debt_business,2015
debt_business,3,ER67793,17,cap rename ER67793 debt_business,2017
debt_credit_card,1,ER52372,11,cap rename ER52372 debt_credit_card,2011
debt_credit_card,2,ER58185,13,cap rename ER58185 debt_credit_card,2013
debt_credit_card,3,ER65382,15,cap rename ER65382 debt_credit_card,2015
debt_credit_card,4,ER71459,17,cap rename ER71459 debt_credit_card,2017
debt_family,1,ER52388,11,cap rename ER52388 debt_family,2011
debt_family,2,ER58201,13,cap rename ER58201 debt_family,2013
debt_family,3,ER65398,15,cap rename ER65398 debt_family,2015
debt_family,4,ER71475,17,cap rename ER71475 debt_family,2017
debt_legal,1,ER52384,11,cap rename ER52384 debt_legal,2011
debt_legal,2,ER58197,13,cap rename ER58197 debt_legal,2013
debt_legal,3,ER65394,15,cap rename ER65394 debt_legal,2015
debt_legal,4,ER71471,17,cap rename ER71471 debt_legal,2017
debt_medical,1,ER52380,11,cap rename ER52380 debt_medical,2011
debt_medical,2,ER58193,13,cap rename ER58193 debt_medical,2013
debt_medical,3,ER65390,15,cap rename ER65390 debt_medical,2015
debt_medical,4,ER71467,17,cap rename ER71467 debt_medical,2017
debt_other_real_estate,1,ER58167,13,cap rename ER58167 debt_other_real_estate,2013
debt_other_real_estate,2,ER65364,15,cap rename ER65364 debt_other_real_estate,2015
debt_other_real_estate,3,ER71441,17,cap rename ER71441 debt_other_real_estate,2017
debt_student_loan,1,ER52376,11,cap rename ER52376 debt_student_loan,2011
debt_student_loan,2,ER58189,13,cap rename ER58189 debt_student_loan,2013
debt_student_loan,3,ER65386,15,cap rename ER65386 debt_student_loan,2015
debt_student_loan,4,ER71463,17,cap rename ER71463 debt_student_loan,2017
home_mort_prin_1,1,ER13047,99,cap rename ER13047 home_mort_prin_1,1999
home_mort_prin_1,10,ER66051,17,cap rename ER66051 home_mort_prin_1,2017
home_mort_prin_1,2,ER17052,01,cap rename ER17052 home_mort_prin_1,2001
home_mort_prin_1,3,ER21051,03,cap rename ER21051 home_mort_prin_1,2003
home_mort_prin_1,4,ER25042,05,cap rename ER25042 home_mort_prin_1,2005
home_mort_prin_1,5,ER36042,07,cap rename ER36042 home_mort_prin_1,2007
home_mort_prin_1,6,ER42043,09,cap rename ER42043 home_mort_prin_1,2009
home_mort_prin_1,7,ER47348,11,cap rename ER47348 home_mort_prin_1,2011
home_mort_prin_1,8,ER53048,13,cap rename ER53048 home_mort_prin_1,2013
home_mort_prin_1,9,ER60049,15,cap rename ER60049 home_mort_prin_1,2015
home_mort_prin_2,1,ER13056,99,cap rename ER13056 home_mort_prin_2,1999
home_mort_prin_2,10,ER66072,17,cap rename ER66072 home_mort_prin_2,2017
home_mort_prin_2,2,ER17063,01,cap rename ER17063 home_mort_prin_2,2001
home_mort_prin_2,3,ER21062,03,cap rename ER21062 home_mort_prin_2,2003
home_mort_prin_2,4,ER25053,05,cap rename ER25053 home_mort_prin_2,2005
home_mort_prin_2,5,ER36054,07,cap rename ER36054 home_mort_prin_2,2007
home_mort_prin_2,6,ER42062,09,cap rename ER42062 home_mort_prin_2,2009
home_mort_prin_2,7,ER47369,11,cap rename ER47369 home_mort_prin_2,2011
home_mort_prin_2,8,ER53069,13,cap rename ER53069 home_mort_prin_2,2013
home_mort_prin_2,9,ER60070,15,cap rename ER60070 home_mort_prin_2,2015
id_interview,1,ER13002,99,cap rename ER13002 id_interview,1999
id_interview,10,ER66002,17,cap rename ER66002 id_interview,2017
id_interview,2,ER17002,01,cap rename ER17002 id_interview,2001
id_interview,3,ER21002,03,cap rename ER21002 id_interview,2003
id_interview,4,ER25002,05,cap rename ER25002 id_interview,2005
id_interview,5,ER36002,07,cap rename ER36002 id_interview,2007
id_interview,6,ER42002,09,cap rename ER42002 id_interview,2009
id_interview,7,ER47302,11,cap rename ER47302 id_interview,2011
id_interview,8,ER53002,13,cap rename ER53002 id_interview,2013
id_interview,9,ER60002,15,cap rename ER60002 id_interview,2015
id_release2,1,ER13001,99,cap rename ER13001 id_release2,1999
id_release2,10,ER66001,17,cap rename ER66001 id_release2,2017
